Idiom,Example,Translation
얼굴이 두껍다,넌 참 얼굴도 두껍다,How dare you be so bold-faced!
숨 거두다,유미씨가 숨을 거둔 곳도 그의 택시 안이었다.,The place where Yumi died was also in his taxi.
아무렇지 않다,다 미 언니는 너희가 부른 것도 아닌데 자기가 아무렇지 않게 테이블에 앉고 자기 친구들 부른 거잖아.,You did not call her she just came to the table and called her friends.
밑져야 본전,밑져야 본전이라는 생각으로 지원해 봤는데 붙었다.,I applied for that company because I thought I had nothing to lose and I passed.
길 뚫다,"전반이 끝날 때까지 전자랜드의 우위는 더 강화됐고, 케이씨씨는 강력한 전자랜드의 수비에 공격의 길을 뚫지 못했다.","By the end of the first half, E-Land's dominance was further strengthened, and Mr. K couldn't penetrate the strong E-Land defense."
술잔을 기울이다,의도치 않게 노회찬 의원을 애도하는 시민들 모습과 대비돼 문 대통령이 술잔을 기울이는 모습이 불편했다는 것이다.,"It is said that in contrast to citizens mourning the lawmaker Roh Hoe-chan, it was inadvertently uncomfortable that President Moon was tilting his drinking glass."
손발 맞다,그런 가운데 두 사람은 팬들을 위한 선물을 준비하기 위해 생필품 매장으로 향했고 환상의 짝꿍이 돼 손발이 척척 맞는 호흡을 보여줬다고 전해져 기대를 모은다.,"In the meantime, expectations increased as the two reportedly headed to a daily necessities store to prepare gifts for fans, and displayed an amazing chemistry of cooperation as a fantastic pair."
둥지 틀다,배우 주민하가 새 소속사 MBG 엔터테인먼트에 둥지를 틀었다.,"Actress Ju Min-ha joined a new agency, MBG Entertainment."
사랑이 식다,여자친구랑 헤어졌어요. 사랑이 식은 것 같았어요.,I broke up with my girlfriend. I think our love is fading.
찬물을 끼얹다,카바니가 추가골을 터트리며 상승세를 타던 포르투갈의 분위기에 찬물을 끼얹었다.,Cabani made an additional goal and threw a wet blanket to Portugal's upward atmosphere.
열에 아홉,새 학기를 시작하는 모습 속에는 반드시 의미 있는 학기를 만들어 보겠다는 굳은 의지가 빛나는 이들은 열에 아홉은 족히 될 것이다.,"In the beginning of the new semester, there will be nine out of ten people who determined to make meaningful semesters."
귀 기울이다,"시민이 다른 시민의 외침에 귀 기울일 때, 그리고 그의 아픔에 공감하고 연대할 때 비로소 공화(共和)다.","When a citizen listens to another citizen's call and sympathizes with and associate with his pain, universal harmony is accomplished for the first time."
돈을 만지다,"수천만원을 횡령한 학교 예산 책임자가 여전히 학교돈을 만지도록 할 수는 없다는 생각에, 안 교사는 2012년 서울시교육청에 이런 사실을 제보했다.","As he thought that he could not let the school budget manager, who had stolen tens of millions of won, continue to touch school money, the teacher Ahn reported this fact to the Seoul Education Office in 2012."
마침표를 찍다,고립 17일 만에 해피엔딩으로 마침표를 찍은 기적의 드라마 속 주인공들은 서로 얼굴도 이름도 몰랐던 평범한 사람들이었다.,"The characters in the miracle drama, which ended with a happy ending after 17 days in isolation, were ordinary people who didn't know each other's faces or names."
불꽃 튀다,"‘더 뱅커’ 김상중이 대한은행 신입사원 채용 비리를 주도한 서이숙을 정조준, 불꽃 튀는 정면 충돌로 심장 쫄깃한 긴장감을 선사했다.","Kim Sang-joong of ""The Banker,"" pointted out Seo Yi-sook, who led the irregularities in hiring new employees at Daehan Bank, shaping the fiery head-on collision with her which gave a sense of heart-wrenching tension."
도장 찍다,"시간을 계속 흘렀고, 삼성은 윤성환측에 최종 제시안을 건네고 답변을 기다렸고, 마침내 윤성환이 계약서에 도장을 찍으면서 협상이 완료됐다.","Time went on, and after Samsung handed Yun Sung-hwan a final offer and waited for his reply, negotiations were finally complete when Yun signed the contract."
고생 끝에 낙이 온다,"고생 끝에 낙이 온다는 말처럼, 그는 온갖 고생을 했지만, 마침내 대단한 것을 이뤄냈다.","Just like every cloud has a silver lining, he jumped through hoops and finally achieved something great."
배꼽 잡다,무대 위 배우들이 진지할수록 관객들은 배꼽을 잡게 된다.,"The more serious the actors are on stage, the more likely the audience is to laugh their head off."
가시 돋치다,결벽증을 정신병으로 여기는 할아버지 차회장(안석환 분)에게 정을 붙이지 못하고 겉돌기만 한 장선결은 늘 가시가 돋아 있었다.,"Jang Seon-gyeol, who couldn't attach his heart to his grandfather President Cha (Ahn Seok-hwan), who regards mysophobia as a mental illness, always had thorns."
얼굴을 들다,외국을 상대로 대한민국을 대표하는 정부 주무 부처와 직원들이 이런 수준이라니 낯이 화끈거려 얼굴을 들 수가 없을 지경이다.,It is embarrassing to hear that the ministries and employees in charge of government affairs representing the Republic of Korea are at such a level to foreign countries.
눈총 받다,교체설로 힘이 빠진 환경부 수장은 지난 19일 국립공원위 위원장인 박천규 환경부 차관이 사업자의 의사 진행 방해를 방조한다는 눈총까지 받으며 회의를 진행하는 상황에서 이미 속수무책이었다.,"The head of the Ministry of Environment, who lost her strength due to the rumors of replacement, was already helpless at a time when Chairman of the National Park Committee / Vice Minister of Environment Park Cheon-kyu was presiding the meeting on the 19th under the glare that he was aiding the obstruction of proceedings by the operator."
김칫국부터 마시지 마,"네가 주식 투자를 막 시작했다는 것 알아. 그래서 말인데, 절대 김칫국 마시지 말았으면 좋겠어.","I know you just started investing in stocks, so I hope you don't count your chickens before they hatch."
가슴이 두근거리다,홀에 울리는 그의 목소리에 그녀는 가슴이 두근거렸다.,The sound of his voice in the hall made her heart flutter.
속 시원하다,"청와대 반부패비서관실 소속 특별감찰반 전원이 교체되는 초유의 사태가 벌어졌지만, 이를 둘러싼 의문은 속 시원히 밝혀진 게 없다.","There was a colostrum in which all the special inspectors in Cheong Wa Dae anti-corruption secretary's office were replaced, but the questions surrounding it were not clear."
속 끓이다,물리적으로도 공동조사가 11월을 넘기면 철도-도로 연결과 현대화를 위한 착공식을 사실상 올해 안에 개최하기 어려울 수 있다는 점도 정부가 속을 끓이는 이유다.,"The government is concerned because if the joint investigation continues into November, it may physically be difficult to hold the groundbreaking ceremony for connecting the railroad-road and modernization."
손에 잡히다,"마이크 폼페이오 미국 국무장관의 지난 6∼7일 북한 방문에서 손에 잡히는 비핵화 성과물이 보이지 않자, 미국 공화당 일부 의원들이 한-미 연합군사훈련을 다시 입에 올리고 있다.","As U.S. Secretary of State Mike Pompeo's visit to North Korea on 6-7, some U.S. Republican lawmakers are putting the South Korea-U.S. joint military drill back on their lips."
발을 뻗다,문제가 해결 됐으니 발 뻗고 잘 수 있겠다,I solved the problem so I was able to relax.
손발이 맞다,"쟤네 둘은 맨날 싸우는데, 프로젝트 할 때만 되면 그렇게 손 발이 잘 맞을 수 없다.","Those two always fight, but when they work in a project, they have a really great chemistry."
어깨가 무겁다,김경수 경남지사는 4일 국민일보와의 인터뷰에서 “어깨가 무겁다”고 운을 뗀 뒤 조선업 구조조정 등으로 침체에 빠진 경남 경제를 살리는 일을 도정의 최우선 과제로 삼겠다고 밝혔다.,"Kim Kyung-soo, governor of South Gyeongsang Province, said in an interview with the Kookmin Ilbo on the 4th that he will make reviving the economy in South Gyeongsang Province, which has been in a slump due to a restructuring of the shipbuilding industry, a top priority for the provincial government."
발 디딜 틈이 없다,강원도 고성 산불 나흘째인 7일 임시 대피소가 마련된 고성군 천진초교 체육관은 전국에서 달려온 봉사 차량과 봉사자들로 발 디딜 틈이 없었다.,"Cheonjin Elementary School Gymnasium in Goseong-gun, where the temporary fire shelter was installed on the fourth day of forest fire to Goseong-gun, Gangwon-do was full with service vehicles and volunteers from all over the country."
눈치 보다,"내가 잘못 생각할 수도 있지만, 당신이 다른 사람들의 눈치를 보는 것처럼 느꼈어.","I might get this wrong, but it felt like you were minding what others might think of us too much."
설 자리가 없다,"산타도 전문가 시대, 이제 무늬만 산타인 가짜 산타는 설 자리가 없다.","Santa also becomes professional, and now there is no place for a fake Santa, whose appearance only is Santa."
철퇴를 가하다,경기도(도지사 김문수)가 광교·판교 주변에서 불법 부동산 중개행위를 벌인 업소에 철퇴를 가했다.,Gyeonggi Provincial Government (Governor Kim Moon-soo) has imposed a withdrawal on businesses that engaged in illegal real estate transactions near Gwanggyo and Pangyo.
홍역 치르다,삼성바이오로직스가 분식회계로 홍역을 치렀음에도 신수종사업으로서 성장잠재력이 무궁무진한 바이오사업을 축소하는 일은 없을 것임을 분명히 한 것으로 풀이된다.,"Samsung BioLogics is believed to have made it clear that it will not reduce its bio business, which has an infinite growth potential as a new business area, even though it was hit hard by the accounting scandal."
포문을 열다,아바스틴 바이오시밀러를 둘러싼 경쟁은 글로벌 제약사가 이미 포문을 열었다.,The global pharmaceutical companies have already opened the door of competition over the Avastin biosimilar.
탈 쓰다,"이 어마어마한 혐오 표현은 농담의 탈을 쓰고 십수년간 유통됐는데, 이런 말이 문제라는 인식이 퍼지기 시작한 건 불과 몇년 안 됐다.","This enormous hate speech was circulated for decades under the guise of jokes, and it was only a few years ago that the perception that it was a problem began to spread."
오지랖 넓다,김정은 북한 국무위원장에게 오지랖 넓다고 비난받은 문 대통령이 트럼프 대통령에게 이런 모욕을 받았다니 이래저래 고생이 많겠다.,"President Moon, who was accused of being far-reaching by North Korean State Councilor Kim Jong-un, must have suffered a lot due to such insults from President Trump."
뜻 맞다,소매각시는 얌전한 탈을 쓰고 노랑저고리 분홍치마를 입고 수줍은 모습으로 춤을 추며 양반광대와 서로 뜻이 맞아 어깨를 끼고 장내를 돌아다니며 사랑을 나눈다.,Somae wife wears a modest mask with a yellow jacket and a pink skirt. And she dances shyly and walks with nobleman clown with holding each other's shoulders and share love each other.
짐을 싸다,기업들이 한국에서 짐을 싸고 신사업 성공을 감춰야 하는 불안한 시장이 지속되고 있지만 정부 안에서 암호화폐에 대해 진지한 정책검토를 하고 있다는 낌새는 아직 없다.,"There is no sign yet that governments are serious about the policy review of cryptocurrency, although a volatile market continues to require companies to pack their bags and hide the success of new businesses in Korea."
북 치고 장구 치고,나는 혼자서 북 치고 장구 치며 그 보고서를 준비했다.,I prepared the report as a one-man band.
무대에 서다,칠흑 같은 어둠이 가신 무대에 모녀가 서 있다.,Mother and daughter stand on the stage where complete darkness has gone.
발 묶이다,미중 무역협상이 막바지 고비를 맞아 정체되고 있는 가운데 한동안 국내 정치에 발이 묶였던 시진핑 중국 국가주석이 국제사회에서 우군 확보를 위한 본격 행보에 나선다.,"Midst the U.S.-China trade negotiation is stagnating at the last stage, Chinese President Xi Jinping, who was tied to domestic politics for a while, is going to put a full-scale effort to secure allies in international society."
몸 둘 바를 모르다,그렇게 말씀해주시다니 몸 둘 바를 모르겠습니다.,"When you say it like that, I'm so grateful."
백짓장도 맞들면 낫다,백짓장도 맞들면 낫다는 것은 누구나 다 안다.,Everyone knows that two heads are better than one.
다시 말하면,"다시 말해, 인터넷은 정치 협회에 걸리는 거래 비용을 크게 낮추는 것이었습니다.","In other words, the Internet was meant to significantly lower the transaction costs that will take on political association."
자기도 모르게,"교회 예배당에 모인 사람들은 자기도 모르게 클래식 선율에 눈을 감고, 음악이 주는 상상의 세계에 빠져듭니다.","People in church chapels unwittingly close their eyes to classical tunes, and fall into the imaginary world of music."
토씨 하나 안 틀리고,기자라는 사람이 남의 기사를 토씨 하나 안 빼 놓고 그대로 배꼈다니.,Someone who calls himself a reporter copied an article without any changes.
바가지 썼다,나는 해변가에서 바가지 썼다,“I got ripped off at the beach”
발등에 불 떨어지다,새 국제회계 기준(IFRS17) 도입을 앞두고 자본을 늘려야 하는 보험사는 설계사의 고용보험 가입으로 높은 유지비용 부담을 또 하나 안게 될 가능성이 커지면서 당장 발등에 불이 떨어졌다.,"Insurance companies, which ned to increase capital ahead of the introduction of the new International Accounting Standards (IFRS17), are pressed by urgent situation as the potential for another high maintenance coast burden is increased due to the registration of employment insurance by their architects."
미역국을 먹다,나는 대학 입학에 합격하지 못하고 미역국을 먹었다,I failed the university entrance exam.
두고 보다,그가 그것을 정말로 할 수 있는지 없는지 두고 보자고요.,We'll see whether he can really do it or not.
바람 쐬다,공터 옆에 화장실도 있고 차 대놓고 바로 앞에서 할 수 있어 바람 쐬기에 좋아요.,It is good to park a car and get some air at the empty lot and there is a toilet next to it.
생으로 먹다,혹시 나는 미역 비린내가 나지 않을까 해서 면을 생으로 먹어봤는데 그런 건 전혀 없고 맛있는 생라면이었습니다.,I tried noodles raw because I thought they might smell the seaweed and there was nothing like that so it was delicious raw ramen.
원숭이도 나무에서 떨어진다,원숭이도 나무에서 떨어질 때가 있나 보다.,I guess even Homer sometimes nods.
한 수 위,어떻게 그런 생각을 했어? 역시 네가 나보다 한 수 위야.,How did you come up with something like that? You are surely one step ahead of me.
죽기보다 싫다,죽기보다 싫은 일은 너를 내 안에서 지우는 일이야.,The thing that I hate more than the death is erasing you from inside of me.
머리 쓰다,비정상 구조에서는 언제나 잔머리 쓰고 새치기 하고 나쁜 짓 하는 소수가 이익을 보고 선량한 다수가 피해를 본다.,"In an abnormal structure, a minority that uses tricks and cuts in line benefits, and the good majority receive damage."
귀가 얇다,저는 귀가 얇아서 다른 사람 말을 잘 믿어요.,"I am gullible, so I easily believe what others say."
눈 돌리다,실용학문에 눈 돌린 동래부사 강필리가 쓴 ‘감저보’와 학자 서유보가 쓴 ‘종저보’가 출간된 뒤 고구마 재배가 널리 퍼졌다.,"After publications of ""Gamjeobo"", written by Dongnae Magistrate Kang Pil-ri, who turned his attention to practical studies, and ""Jongjeobo"", written by scholar Seo Yoo-Goo, sweet potato cultivation became widespread."
손을 놓다,경제가 어려워 큰일이라면서 최저임금 결정구조 개편과 탄력근로제 확대처럼 여야 이견이 좁혀진 법안도 마냥 손을 놓고 있다.,"Although they say the economic difficulties are a big problem, the ruling and opposition parties are now sitting back on bills that they have narrowed their differences on, such as the overhaul of the minimum wage decision-making structure and the expansion of the flexible work system."
여간 아니다,"육아가 여간 힘든 일이 아니라더니, 엄마는 역시 힘든 존재라고 생각하며 또 한편으로는 ‘엄마’라는 존재 덕분에 나도 우리도 클 수 있다는 감사함이 떠올랐다.","As they say, parenting was a difficult task and I thought it's tough being a mom. On the other hand, I was thankful that I and we could grow up too, thanks to the presence of ""Mom""."
바람을 일으키다,한국에 학력 위조 검증 바람을 불어일으킨 신정아가 화제다.,Shin Jeong-ah has become a hot topic by creating a trend to verify the academic backgrounds in Korea.
뒤로 빠지다,"법무부는 과거사위로부터 ‘수사 촉구’ 결정문을 받아 대검으로 송부했지만, 수사 개시 여부는 “대검이 결정할 일”이라며 뒤로 빠졌다.","The Ministry of Justice received a ""urge for investigation"" decision from the committee and sent it to the Supreme Prosecutors' Office, but it fell back, saying whether the investigation will begin is up to the Supreme Prosecutors' Office to decide."
목숨 끊다,"노회찬이 목숨을 끊은 지난 7월23일 이후 8월16일까지 한 달이 채 안 되는 시간 동안 8,233명의 국민이 정의당원이 됐다.","Since July 23 when Roh Hoe-chan took his life, 8,233 people have become members of the Justice Party in less than a month until August 16."
전에 없다,내가 건축가가 되고 싶은 이유는 전에 없던 새로운 건물을 건설하고 싶기 때문이에요.,The reason why I want to be an architect is that I want to build a new building that has never existed before.
바람을 넣다,친구는 계속 새 차를 사라고 나에게 바람을 넣었다,My friend is always going on at me to buy a new car
거리가 멀다,왜소한 체격과 눈에 띄지 않는 플레이는 화려함과 거리가 멀었다.,The small physique and inconspicuous play were far from splendid.
가닥을 잡다,네이버 관계자는 “장기적으로 직원과 회사가 성장의 과실을 공유하는 방안을 고민하다가 스톡옵션 쪽으로 가닥을 잡은 것”이라고 설명했다.,"After thinking about sharing the fruits of growth in the long term, we decided to move toward stock options, said a representative for Naver."
시간 가는 줄 모르다,유니버설 스튜디오는 무척 재밌어서 시간 가는 줄 몰랐다.,I lost track of time because Universal Studio was so much fun.
자취를 감추다,한동안 자취를 감췄던 시리즈물 제작에 다시금 불이 붙은 셈이다.,"In other words, the production of the series, which had disappeared for a while, has caught fire again."
하늘이 무너져도 솟아날 구멍이 있다,"하늘이 무너져도 솟아날 구멍이 있다고, 다른 방법을 생각해야 해요.","There is always a way out, you should think of a different method."
막차를 타다,총부채원리금상환비율(DSR) 규제의 본격 시행을 앞두고 대출 막차를 타려는 수요가 몰리면서 주요 은행의 신용대출이 한 달 새 2조원이 급증했다.,"Amid the growing demand for the finalization of the DSR regulation, major banks' credit loans surged 2 trillion won a month."
날개 펴다,번뜩이는 아이디어로 무장한 경기도내 소상공인들이 경기도의 ‘특화기술 개발사업’을 만나 국내·외 시장서 날개를 펴고 있다.,"Small business owners in Gyeonggi Province, armed with brilliant ideas, have met Gyeonggi Province's special technology development project"" and are spreading their wings in domestic and foreign markets."""
적을 두다,"뉴욕 프랫대학에 적을 두고, 거침없이 분출하는 미국 현대미술의 세례를 받던 작가는 그러나 서양의 미감을 그대로 쫓아선 결코 안 된다는 사실을 깨우쳤다.","The artist, who belonged to Pratt Institute in New York and influenced by American contemporary art that spurred explosively, realized that he should never pursue Western aesthetic status-quo."
갈 길이 멀다,반가운 소식임에 틀림없지만 아직은 갈 길이 멀다.,"Good news, but we still have a long way to go."
비 오듯,군민들은 포탄과 총알이 비 오듯 퍼붓는 모습을 보고 또 굉음을 들으면서 며칠 밤을 지새우며 공포에 떨어야 했다.,"As the county residents saw the shells and bullets pouring like rain and heard a roar, they spent a few nights sleepless with fear."
믿는 도끼에 발등 찍힌다,"나는 그녀를 완전히 신뢰했는데, 믿는 도끼에 발등 찍힌 격이 되었어.","I completely trusted her, but it ended up being a case of being stabbed in the back"
피부로 느끼다,"문 위원장은 지난 13일 한 토론회에서 “소득주도성장, 혁신성장, 공정경제, 포용국가라는 어젠다는 국민이 피부로 느끼기에 너무 포괄적이고 추상적”이라고 지적하기도 했다.","Chairman Moon also pointed out in a forum on the 13th that the agenda of income-led growth, innovative growth, a fair economy and an inclusive country is too comprehensive and abstract for the people to feel with their skin."
시도 때도 없다,"선생님에게만 커피를 사 가고, 시도 때도 없이 꿀벌이 사진 찍기에 여념이 없으며, 이쪽저쪽 항균 스프레이를 뿌려대는 승준을 엄마들은 무리에 끼워 주지 않았다.","Moms did not let Seung-jun in their group who only buys coffee for her teacher, taking pictures of honeybeess everytime, and spraying an antibacterial spray here and there."
병주고 약주다,이제 그만해! 병 주고 약 주는 거니?,Enough already! Are you playing cat and mouse with me?
말 많다,나이 많은 한국 여자들은 할 말이 많아요.,Old Korean women have a lot to talk about.
눈이 맵다,미세먼지 때문에 눈이 맵다,My eyes are hurting because of the pollution!
찬물을 끼얹다,영화를 보는데 엔딩을 말해서 찬물을 끼얹었다,"Right before we saw it, someone spoiled the ending and ruined the mood."
서슬 퍼렇다,서슬 퍼렇던 더위가 세월 앞에 털썩 주저앉았다.,The scorching heat has subsided before the passing of time.
귀 익다,"귀에 익은 OST에 화려한 비주얼, 할리우드 명배우들의 조합이 더해져 한층 업그레이드된 동화 속 세상으로 관객들을 이끕니다.","The familiar OST, plus a combination of colorful visuals and Hollywood celebrities, drives audiences to an upgraded world of fairy tales."
불 보듯 뻔하다,"교수나 학생 모두 손해를 볼 수밖에 없고, 교육의 질도 현저히 떨어질 것이라는 점은 불 보듯 뻔한 일이다.","It is obvious that both professors and students will suffer losses, and that the quality of education will decline significantly."
발 구르다,중국 경제가 급속도록 악화되고 있지만 중국 정부는 뾰족한 대책을 내놓지 못한 채 발만 구르고 있는 형편이다.,"China's economy is rapidly deteriorating, but the Chinese government has failed to come up with a sharp measure and is only pacing around."
발등에 불이 떨어지다,마감 일자가 내일이니 발등에 불이 떨어진 거지.,We are pressed for time since the deadline is tomorrow.
혀를 차다,"청소년 장래희망 1위가 공무원이란 말에 혀를 차곤 했는데, 그것이 ‘행복 이너서클’에 들어가려는 아주 합리적인 선택임을 이 조사가 입증한 것일 수도 있겠다.","The survey may prove that the number one job in youth's future was a public official, and that was a very reasonable choice to enter a ""inner circle of happiness""."
간 떨어지다,장난 좀 그만 쳐. 간 떨어지는 줄 알았잖아.,Stop kidding me. It scared me off.
쥐고 흔들다,지금까지 교육행정은 교육부 관료가 교육과정 편성·수업평가까지 쥐고 흔드는 체제다.,"So far, educational administration is a system that the bureaucrat of Ministry of Education grabs and shakes curriculum organization and class evaluation."
문턱을 낮추다,기존 규제도 네거티브 방식으로 전환해 새로운 형태의 신규 파생상품이 등장할 수 있도록 규제 문턱을 낮춘다.,"The existing regulations will also be converted into negative ones, lowering the regulatory threshold so as to help the emergence of new types of derivatives."
빛을 보다,그러던 중 올해 들어 대만계 식품·유통 1위 기업인 퉁이그룹으로 주인이 바뀌면서 가을대추는 다시 빛을 보게 됐다.,"Then, as the owner of Taiwan-based food and distribution company Uni-President Enterprises Corporation has been changed this year, the Autumn Jujube has been in full bloom again."
숨통 틔우다,특히 전자음악가 키라라 등 4명의 퍼포머가 선보이는 전자음향과 영상에 펼쳐지는 격렬한 춤 동작은 진지한 접근 때문에 무거워질 수 있는 전시 공간에 숨통을 틔워주는 역할도 한다.,"In particular, the intense dance moves in electronic sounds and videos presented by four performers including electronic musician Kirara also provide a breathing space in the exhibition space that can become heavy due to the serious approach."
낭패 보다,"녹화를 위해 모임 장소를 카페에서 영화 스튜디오로 옮기고, 모임 이름이 ‘희곡이 들린다’에서 낭독낭패로 변했을 뿐 희곡을 읽으며 연극을 가깝게 느껴본다는 취지는 바뀐게 없다.","The purpose of moving the meeting place from the caf? to the movie studio for recording, and the name of the meeting changed from 'I hear the play' to reading aloud, has changed the purpose of reading the play and feeling closer to the play."
진땀 흘리다,배우 김보성 허지훈 형제가 어색함 때문에 진땀을 흘린다.,Actors Kim Bo-sung and Huh Ji-hoon brothers are sweating because of their awkwardness.
마음이 통하다,서로 마음이 통하면 쓸 수도 있는 말이다.,You can use that kind of words when you understand each other.
길을 열다,샌안토니오는 상대 가드진이 돌파를 할 때 거의 자동문 수준으로 길을 열어주면서 다양한 공격을 허용하고 있다.,San Antonio allows a variety of attacks by opening the way almost to the level of an automatic door when the opposing guard makes a breakthrough.
바람 넣다,매주 2회 일반인을 위한 유리 아카데미도 운영하고 있는데 섭씨 1천도가 넘는 유리에 파이프로 바람을 불어넣는 ‘블로잉’과정을 체험할 수 있는 곳은 서울에서 이곳이 유일하다.,"There is also a glass academy for the general public twice a week, the only place in Seoul where you can experience the ""blowing"" process that blows pipes over 1,000 degrees Celsius."
두말할 나위 없다,이동휘 배우는 두말할 나위가 없을 것 같다.,Actor Lee Dong-hwi seems to have nothing doubtful but perfect.
애가 타다,"연락이 없어 애가 타겠지만, 특별히 할 이야기가 없어서 연락이 없는 걸 거야.","You might worry because there is no contact, I think it is because he has nothing special to talk."
고개 숙이다,반도체로 거침없는 성장을 했던 삼성전자가 반도체 부진에 고개를 숙였다.,"Samsung Electronics, which has grown steadily with semiconductors, leaned back on sluggish semiconductors."
뒤를 받치다,자신의 뒤를 받친 안데르 에레라와 네마냐 마티치 덕에 수비 부담이 덜해진 포그바는 자신의 공격적 재능을 만개할 수 있었다.,"Thanks to Ander Herrera and Nemanja Mati? in the back, Pogba with lessened defensive burden managed to enjoy the full bloom of his aggressive talents."
어깨가 무겁다,그는 새 프로젝트를 책임지게 되어 어깨가 무거웠다.,He felt burdened with the responsibility of the new project.
곁 떠나다,세상에서 내가 가장 존경하고 사랑하는 언니가 한 달 전 7월 18일 새벽에 하나님 곁으로 떠났습니다.,My most respected and beloved sister in the world left for God at the dawn on July 18 a month ago.
금강산도 식후경,"금강산도 식후경이라고, 배고픈 상태에서는 아무것도 집중할 수 없어",We say it's pudding rather than praise. You can’t focus on anything when you’re hungry. 
하는 수 없이,"엄마는 보조키를 가져오겠다며 자리를 떴고, 시민들은 하는 수 없이 엄마가 올 때까지 차량에 물을 뿌려 내부 온도를 낮췄다.","The mother left to bring the assisting key, and the citizens lowered the inner temperature by watering the car until the mother came back."
눈 높다,나는 눈이 높아서 데이트를 잘 안 해요.,I hardly go on a date because I have high standards.
말 듣다,이렇게 말 잘 듣는 애들은 처음 봐요.,I've never met such well-behaved children.
숨 막히다,형식적인 자기소개가 오간 뒤에는 숨 막히는 정적이 흘렀다.,"After they exchanged formal self-introduction, a breathtaking silence passed."
호랑이도 제 말하면 온다,"호랑이도 제말하면 나타난다더니만, 이제 오시는구만.","Speak of the devil, here he comes now."
등 돌리다,당장 블록체인이 인터넷처럼 수익을 내는 사업을 가시적으로 내놓기 어렵다 보니 일반적인 사람들이 블록체인 자체에 등을 돌릴 수 있다는 것이다.,"It is difficult for blockchain to launch a visible and profitable business like the Internet right away, so ordinary people may turn their backs on the blockchain itself."
손 내밀다,윤 전 장관은 여권이 먼저 손 내밀어야 한다고 진단했다.,Former minister Yoon diagnosed that the ruling camp should reach out first.
덜미 잡히다,지난해 대통령선거 때부터 최근 더불어민주당 경기도지사 경선까지 이재명 후보를 비방하며 허위사실을 유포해온 유명 댓글러(댓글을 다는 사람) ‘경대승’이 경찰에 덜미를 잡혔다.,"The police caught a ""Gyeongdaeseung,"" a famous commenter who spread false information by slandering Lee Jae-myung from last year's presidential election to Gyeonggi Province governor primary of the Democratic Party of Korea."
촉각을 곤두세우다,"청문회는 미 전역에 생중계됐으며, 미 주요 언론들은 ‘러시아 스캔들’로 촉발된 사태가 트럼프의 탄핵으로 이어질지를 놓고 연일 촉각을 곤두세우고 있다.","The hearing was broadcast live throughout the U.S., and major U.S. media outlets have been paying keen attention to whether the incident sparked by the ""Russian scandal"" will lead to Trump's impeachment."
날 세우다,"나 원내대표는 더불어민주당 홍영표 원내대표가 “지열발전사업이 이명박, 박근혜 정부에서 이뤄졌고 관리도 부실했다”고 주장한데 대해 비판의 날을 세웠다.","Na, floor leader criticized Hong, floor leader of the Minju Party for saying, “The regional development projects were conceived in the Administrations of Lee Myung-bak and Park Geun-jye, suffering from poor management."""
제자리에 머물다,"국가 간 협력이 선언 수준에 머물며 제자리에 머물러 있는 사이, 시민 삶과 가장 가까이서 정책을 집행하는 지방정부가 국가 간 협력의 빈 자리를 메우고 있다.","While cross-border cooperation remains at the declaring level, local governments that enforce policy, which is most closest to lives of citizens, are filling its void."
앞뒤 가리지 않다,원폭 개발 뒤 미국의 태도가 변했음을 감지한 스탈린은 앞뒤 가리지 않고 극동소련군에게 총공격 명령을 내렸다.,"Stalin, who sensed a change in American attitudes after the development of the bomb, ordered the Far East Soviet Army to launch a full-scale attackgun attacks."
말할 것도 없이,코리안시리즈는 말할 것도 없이 당연합니다.,There is no need to say about the Korean league.
자나 깨나,"자나 깨나 농사 생각뿐인 열여섯 살 8년 차 농부 태웅이의 솔직, 담백한 매력이 시청자들에게 신선한 재미를 주고 있다.","The honest and innocent charm of 16-year-old farmer Tae-woong, who only thinks about farming with 8 years of farming career, is giving viewers fresh fun."
곡기를 끊다,정부가 제 할 일을 했더라면 동료들이 목숨을 끊고 이런 맑은 가을날 곡기를 끊으며 눈물 흘리지는 않을 것입니다.,"If the government had done its job, my colleagues would not take their lives, and I would not cry over these sunny autumn days."
발 벗고 나서다,사실이라면 도덕적으로 파탄 난 검찰 고위간부의 출세와 보호를 위해 청와대가 발 벗고 나섰다는 말이어서 어처구니가 없다.,"If it is true, then it means that the Blue House stepped up for the success and protection of the morally broken down executives of the prosecution, which is ridiculous."
눈이 높다,나는 남자를 보는 눈이 높다,I have high standards when it comes to relationships.
발 빠르다,탑항공은 인터넷 기반 경쟁 업체들이 생겨나고 항공권 발권 대행의 수익구조 변화에 발 빠르게 대처하지 못해 경영악화를 겪었다.,Top Airlines suffered a deterioration in its management due to the emergence of internet-based competitors and a rapid change in the revenue structure of ticketing agencies.
골이 깊어지다,공동행동은 오는 10일 김세권 대표를 서울중앙지검에 고발할 예정이어서 양측 갈등의 골이 더욱 깊어질 수도 있다.,"Collective Action is scheduled to file a complaint with the Seoul Central District Prosecutors' Office against Kim Se-kwon on the 10th, which could further deepen the conflict between the two sides."
배가 아프다,그는 동료가 자기보다 먼저 승진하자 배가 아팠다.,He turned green with envy when his colleague was promoted before him.
